Source,Target,Weight,Type,origine,servizi
agid,comuni_agg,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,r_lombardia,1,Directed,ricostruita,INAD – Domicili Digitali
agid,pagopa,2,Directed,ricostruita,"INAD – Domicili Digitali; Indice PA (IPA)"
agid,anac,1,Directed,ricostruita,Indice PA (IPA)
agid,mef,1,Directed,ricostruita,Indice PA (IPA)
unioncamere,ade,1,Directed,ricostruita,Registro Imprese
unioncamere,inps,1,Directed,ricostruita,Registro Imprese
unioncamere,inail,1,Directed,ricostruita,Registro Imprese
unioncamere,c_milano,5,Directed,ricostruita,"Registro Imprese; Catalogo SSU – Metadati; Catalogo SSU – BO SUAP; SSU – ComUnica; SSU – Registro Imprese (circolarità)"
unioncamere,c_roma,5,Directed,ricostruita,"Registro Imprese; Catalogo SSU – Metadati; Catalogo SSU – BO SUAP; SSU – ComUnica; SSU – Registro Imprese (circolarità)"
unioncamere,c_bologna,5,Directed,ricostruita,"Registro Imprese; Catalogo SSU – Metadati; Catalogo SSU – BO SUAP; SSU – ComUnica; SSU – Registro Imprese (circolarità)"
unioncamere,comuni_agg,5,Directed,ricostruita,"Registro Imprese; Catalogo SSU – Metadati; Catalogo SSU – BO SUAP; SSU – ComUnica; SSU – Registro Imprese (circolarità)"
unioncamere,anac,1,Directed,ricostruita,Registro Imprese
unioncamere,mef,1,Directed,ricostruita,Registro Imprese
unioncamere,r_lombardia,2,Directed,ricostruita,"Registro Imprese; Catalogo SSU – BO Enti Terzi"
unioncamere,c_napoli,3,Directed,ricostruita,"Catalogo SSU – Metadati; Catalogo SSU – BO SUAP; SSU – Registro Imprese (circolarità)"
unioncamere,c_genova,1,Directed,ricostruita,Catalogo SSU – Metadati
unioncamere,min_interno,1,Directed,ricostruita,Catalogo SSU – BO Enti Terzi
unioncamere,r_lazio,1,Directed,ricostruita,Catalogo SSU – BO Enti Terzi
unioncamere,r_campania,1,Directed,ricostruita,Catalogo SSU – BO Enti Terzi
unioncamere,r_friuli,1,Directed,ricostruita,Catalogo SSU – BO Enti Terzi
unioncamere,r_sicilia,1,Directed,ricostruita,Catalogo SSU – BO Enti Terzi
inail,inps,1,Directed,ricostruita,INAIL – DURC
inail,c_milano,1,Directed,ricostruita,INAIL – DURC
inail,c_roma,1,Directed,ricostruita,INAIL – DURC
inail,comuni_agg,1,Directed,ricostruita,INAIL – DURC
inail,anac,1,Directed,ricostruita,INAIL – DURC
inail,unioncamere,1,Directed,ricostruita,INAIL – DURC
inail,r_lombardia,1,Directed,ricostruita,INAIL – DURC
anac,c_milano,2,Directed,ricostruita,"Banca Dati Contratti Pubblici; SIMOG"
anac,c_roma,2,Directed,ricostruita,"Banca Dati Contratti Pubblici; SIMOG"
anac,c_napoli,1,Directed,ricostruita,Banca Dati Contratti Pubblici
anac,c_bologna,1,Directed,ricostruita,Banca Dati Contratti Pubblici
anac,comuni_agg,2,Directed,ricostruita,"Banca Dati Contratti Pubblici; SIMOG"
anac,r_lombardia,1,Directed,ricostruita,Banca Dati Contratti Pubblici
anac,r_lazio,1,Directed,ricostruita,Banca Dati Contratti Pubblici
anac,mef,2,Directed,ricostruita,"Banca Dati Contratti Pubblici; SIMOG"
anac,ade,1,Directed,ricostruita,Banca Dati Contratti Pubblici
mit_dgmot,c_milano,3,Directed,ricostruita,"Consultazione Veicoli; Consultazione Patenti; CUDE – Contrassegno Disabili"
mit_dgmot,c_roma,3,Directed,ricostruita,"Consultazione Veicoli; Consultazione Patenti; CUDE – Contrassegno Disabili"
mit_dgmot,c_napoli,2,Directed,ricostruita,"Consultazione Veicoli; CUDE – Contrassegno Disabili"
mit_dgmot,comuni_agg,3,Directed,ricostruita,"Consultazione Veicoli; Consultazione Patenti; CUDE – Contrassegno Disabili"
mit_dgmot,r_lombardia,2,Directed,ricostruita,"Consultazione Veicoli; CUDE – Contrassegno Disabili"
mit_dgmot,inps,2,Directed,ricostruita,"Consultazione Veicoli; Consultazione Patenti"
mit_dgmot,c_bologna,1,Directed,ricostruita,CUDE – Contrassegno Disabili
min_giustizia,inps,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,ade,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,anac,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,c_milano,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,c_roma,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,comuni_agg,1,Directed,ricostruita,Casellario Giudiziale
min_giustizia,mef,1,Directed,ricostruita,Casellario Giudiziale
min_cultura,r_lombardia,3,Directed,ricostruita,"I.PaC – Gestione Risorse Digitali; I.PaC – Grafo Conoscenza; I.PaC – API IIIF"
min_cultura,r_lazio,2,Directed,ricostruita,"I.PaC – Gestione Risorse Digitali; I.PaC – Grafo Conoscenza"
min_cultura,r_campania,1,Directed,ricostruita,I.PaC – Gestione Risorse Digitali
min_cultura,r_sicilia,2,Directed,ricostruita,"I.PaC – Gestione Risorse Digitali; I.PaC – Grafo Conoscenza"
min_cultura,mur,3,Directed,ricostruita,"I.PaC – Gestione Risorse Digitali; I.PaC – Grafo Conoscenza; I.PaC – API IIIF"
min_cultura,istat,2,Directed,ricostruita,"I.PaC – Grafo Conoscenza; I.PaC – API IIIF"
mef,inps,2,Directed,ricostruita,"Anagrafe Dipendenti Pubblici; noiPA"
